var,max,mean,min,n,n.unique,nNA,sd
atac.enhancer,0.06601957,0.00959383172695088,0,25728,15671,0,0.00794814231425331
atac.promoter,0.3479586,0.0500646960749989,0,25728,4671,0,0.0226216331234349
atac.window,0.007079656,0.00140958069272789,0,25728,25539,0,0.000503359039026576
gene.expression,369.78,1.38416550062189,0,25728,508,0,10.8564906626601
H3K27ac.enhancer,0.2780099,0.0160467715737765,0,25728,7689,0,0.0237491143784378
H3K27ac.promoter,0.3129667,0.0547270026432051,0,25728,4202,0,0.0435141302128336
H3K27ac.window,0.007381211,0.00113719760175732,0,25728,25621,0,0.000826048247307716
H3K27me3.enhancer,0.0686879,0.000511778026767206,0,25728,552,0,0.00321406554572777
H3K27me3.promoter,0.0836629,0.000269047805231654,0,25728,77,0,0.00278518053741442
H3K27me3.window,0.006584963,0.000710533197628881,0,25728,19603,0,0.000915335297441554
H3K4me1.enhancer,0.1301327,0.0172246470462959,0,25728,8943,0,0.0147668832620528
H3K4me1.promoter,0.0854785,0.0015005332830768,0,25728,452,0,0.00572168687479135
H3K4me1.window,0.006034013,0.00125541865360467,0,25728,25613,0,0.000721050753856409
Methylation.enhancer,12.705,0.043334652382393,0,25728,753,0,0.321688382451803
Methylation.promoter,3.6175,0.108335655160555,0,25728,613,0,0.150232121189114
Methylation.window,1.187361,0.0402847125619254,0,25728,25049,0,0.0679816080005111
